	NO_OF_SUBJECTS	GRP_1	GRP_2	GRP_4	GRP_5	GRP_6	GRP_7	OPIOIDS	OTHER_DRUGS	CLUSTERS
3929	0.06528189910979228	0.11076923076923077	0.05454545454545454	0.0	0.05128205128205128	0.09615384615384616	0.09090909090909091	2	179	3
3931	0.08066820529728541	0.13230769230769232	0.14545454545454545	0.2	0.05128205128205128	0.057692307692307696	0.09090909090909091	2	138	3
3933	0.013298164633476207	0.015384615384615385	0.0	0.0	0.0	0.019230769230769232	0.0	2	337	3
3958	0.03192658533904825	0.09846153846153846	0.05454545454545454	0.0	0.1794871794871795	0.09615384615384616	0.0	2	313	3
3969	0.012309044949994505	0.024615384615384615	0.01818181818181818	0.2	0.02564102564102564	0.0	0.09090909090909091	2	431	3
3970	0.027145840202220023	0.021538461538461538	0.01818181818181818	0.0	0.02564102564102564	0.038461538461538464	0.0	2	242	3
3973	0.05187383228926255	0.12615384615384614	0.10909090909090909	0.2	0.07692307692307693	0.15384615384615385	0.18181818181818182	2	171	3
3974	0.2707989888998791	0.28923076923076924	0.19999999999999998	0.2	0.2564102564102564	0.3653846153846154	0.0	2	81	3
3987	0.0550609957138147	0.10461538461538461	0.05454545454545454	0.2	0.07692307692307693	0.13461538461538464	0.09090909090909091	2	207	3
3990	0.03456423782833278	0.043076923076923075	0.01818181818181818	0.0	0.0	0.019230769230769232	0.0	2	274	3
3993	0.06390812177162325	0.2246153846153846	0.23636363636363636	0.2	0.10256410256410256	0.2692307692307693	0.5454545454545454	2	147	3
3996	0.03945488515221453	0.08615384615384615	0.0	0.0	0.1282051282051282	0.09615384615384616	0.0	2	227	3
4000	0.8147049126277612	0.7723076923076924	0.4727272727272727	0.6000000000000001	0.7435897435897436	0.8653846153846154	0.9090909090909092	2	29	3
4006	0.008517419496647983	0.021538461538461538	0.0	0.0	0.02564102564102564	0.019230769230769232	0.0	2	298	3
4011	0.0557753599296626	0.08923076923076922	0.10909090909090909	0.2	0.1282051282051282	0.057692307692307696	0.0	2	175	3
4022	0.6059457083195956	0.64	0.5272727272727272	0.4	0.6923076923076923	0.7307692307692308	0.4545454545454546	2	16	3
4026	0.3408066820529728	0.29846153846153844	0.16363636363636364	0.0	0.358974358974359	0.2884615384615385	0.2727272727272727	2	25	3
4028	0.6614463127816244	0.7476923076923077	0.6	0.4	0.641025641025641	0.8076923076923077	0.8181818181818182	2	19	3
4031	0.050939663699307615	0.033846153846153845	0.03636363636363636	0.0	0.02564102564102564	0.09615384615384616	0.09090909090909091	2	271	3
4032	0.01774920320914386	0.021538461538461538	0.01818181818181818	0.0	0.0	0.019230769230769232	0.09090909090909091	2	375	3
4042	0.0951203428948236	0.07076923076923076	0.03636363636363636	0.0	0.0	0.09615384615384616	0.09090909090909091	2	161	3
4043	0.011374876360039565	0.04	0.03636363636363636	0.2	0.05128205128205128	0.019230769230769232	0.0	2	401	3
4052	0.10501153972964061	0.16923076923076924	0.14545454545454545	0.2	0.20512820512820512	0.19230769230769232	0.09090909090909091	2	106	3
4057	0.36641389163644356	0.19076923076923077	0.14545454545454545	0.0	0.15384615384615385	0.42307692307692313	0.2727272727272727	2	70	3
4101	0.15248928453676228	0.07076923076923076	0.03636363636363636	0.0	0.10256410256410256	0.11538461538461539	0.09090909090909091	2	146	3
4114	0.03533355313770744	0.052307692307692305	0.05454545454545454	0.0	0.05128205128205128	0.09615384615384616	0.0	2	214	3
4115	0.105616001758435	0.10153846153846154	0.12727272727272726	0.2	0.1794871794871795	0.15384615384615385	0.09090909090909091	2	150	3
4119	0.01346301791405649	0.003076923076923077	0.01818181818181818	0.0	0.0	0.019230769230769232	0.0	2	405	3
4121	0.10435212660731949	0.27384615384615385	0.2545454545454545	0.2	0.4358974358974359	0.25	0.2727272727272727	2	115	3
4128	0.020771513353115726	0.03076923076923077	0.0	0.0	0.05128205128205128	0.019230769230769232	0.0	2	343	3
4132	0.011704582921200132	0.015384615384615385	0.01818181818181818	0.0	0.0	0.019230769230769232	0.0	2	320	3
4133	0.040389053742169466	0.07384615384615384	0.05454545454545454	0.2	0.02564102564102564	0.057692307692307696	0.09090909090909091	2	200	3
4137	0.033190460490163755	0.07076923076923076	0.03636363636363636	0.2	0.0	0.09615384615384616	0.0	2	233	3
4154	0.40586877678865807	0.4707692307692308	0.3818181818181818	0.2	0.4615384615384615	0.5961538461538461	0.4545454545454546	2	44	3
4176	0.025827013957577756	0.024615384615384615	0.01818181818181818	0.0	0.0	0.019230769230769232	0.0	2	174	3
4178	0.06874381800197824	0.09538461538461539	0.07272727272727272	0.2	0.10256410256410256	0.07692307692307693	0.0	2	128	3
4179	0.036872183756456754	0.06769230769230769	0.01818181818181818	0.0	0.1282051282051282	0.07692307692307693	0.0	2	239	3
4183	0.15397296406198482	0.3046153846153846	0.3090909090909091	0.0	0.28205128205128205	0.3653846153846154	0.2727272727272727	2	134	3
4195	0.008682272777228267	0.006153846153846154	0.03636363636363636	0.0	0.0	0.038461538461538464	0.0	2	432	3
4211	0.043576217166721616	0.06461538461538462	0.07272727272727272	0.0	0.10256410256410256	0.038461538461538464	0.0	2	137	3
4213	0.026596329266952413	0.006153846153846154	0.01818181818181818	0.0	0.02564102564102564	0.0	0.0	2	309	3
4222	0.30234091658424	0.4338461538461538	0.36363636363636365	0.2	0.3846153846153846	0.44230769230769235	0.36363636363636365	2	52	3
4224	0.12490383558632817	0.12923076923076923	0.09090909090909091	0.2	0.1794871794871795	0.23076923076923078	0.0	2	125	3
4230	0.2593691614463128	0.35384615384615387	0.2909090909090909	0.4	0.6153846153846154	0.4807692307692308	0.36363636363636365	2	51	3
4231	0.014342235410484669	0.006153846153846154	0.0	0.0	0.0	0.019230769230769232	0.0	2	243	3
4232	0.021540828662490383	0.04	0.01818181818181818	0.0	0.05128205128205128	0.019230769230769232	0.09090909090909091	2	373	3
4235	0.019287833827893175	0.033846153846153845	0.0	0.0	0.02564102564102564	0.057692307692307696	0.0	2	331	3
4237	0.0884712605780855	0.08307692307692308	0.09090909090909091	0.0	0.07692307692307693	0.038461538461538464	0.0	2	169	3
4262	0.00978129464776349	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	438	3
4263	0.005165402791515551	0.006153846153846154	0.01818181818181818	0.0	0.0	0.019230769230769232	0.0	2	378	3
4269	0.03253104736784262	0.06769230769230769	0.07272727272727272	0.0	0.02564102564102564	0.038461538461538464	0.0	2	269	3
4284	0.013627871194636773	0.00923076923076923	0.0	0.0	0.0	0.038461538461538464	0.09090909090909091	2	344	3
4287	0.04225739092207935	0.08	0.03636363636363636	0.0	0.10256410256410256	0.11538461538461539	0.0	2	182	3
4299	0.15435762171667217	0.2153846153846154	0.18181818181818182	0.2	0.23076923076923075	0.17307692307692307	0.09090909090909091	2	118	3
4343	0.013792724475217056	0.03692307692307692	0.0	0.0	0.07692307692307693	0.0	0.0	2	408	3
4345	0.012803604791735356	0.0	0.01818181818181818	0.0	0.0	0.019230769230769232	0.0	2	407	3
4359	0.0537971205626992	0.08923076923076922	0.18181818181818182	0.2	0.07692307692307693	0.13461538461538464	0.09090909090909091	2	158	3
4365	0.08374546653478404	0.05846153846153846	0.01818181818181818	0.0	0.0	0.0	0.0	2	191	3
4389	0.16188592152983844	0.27076923076923076	0.3818181818181818	0.0	0.3333333333333333	0.2884615384615385	0.18181818181818182	2	67	3
4390	0.1878777887679965	0.18153846153846154	0.12727272727272726	0.0	0.28205128205128205	0.3076923076923077	0.09090909090909091	2	61	3
4400	0.15990768216287504	0.23076923076923078	0.16363636363636364	0.2	0.1282051282051282	0.25	0.09090909090909091	2	66	3
4434	0.009616441367183207	0.03692307692307692	0.01818181818181818	0.0	0.02564102564102564	0.019230769230769232	0.0	2	442	3
