	NO_OF_SUBJECTS	GRP_1	GRP_2	GRP_4	GRP_5	GRP_6	GRP_7	OPIOIDS	OTHER_DRUGS	CLUSTERS
3758	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	3719	2
3845	0.00016485328058028355	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2234	2
3868	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	3490	2
3950	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2628	2
4023	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2393	2
4148	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2825	2
4155	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2863	2
4161	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2265	2
4189	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.019230769230769232	0.0	2	3552	2
4372	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.019230769230769232	0.0	2	3063	2
4428	0.00010990218705352236	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	2	2198	2
4773	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2609	2
4898	5.495109352676118e-05	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	2	2554	2
5097	5.495109352676118e-05	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	2	2117	2
5178	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2141	2
5304	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	3155	2
5401	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	3628	2
5412	5.495109352676118e-05	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	2	3221	2
5429	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2182	2
5454	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2390	2
5522	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2399	2
5545	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2557	2
5702	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	3448	2
5845	0.00010990218705352236	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	2	2651	2
5875	0.00010990218705352236	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	2	2075	2
6081	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	2	3579	2
6350	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2215	2
6386	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	3704	2
6411	5.495109352676118e-05	0.003076923076923077	0.01818181818181818	0.0	0.02564102564102564	0.0	0.0	2	3708	2
6458	5.495109352676118e-05	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	2	2648	2
6463	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2849	2
6487	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	3148	2
6526	5.495109352676118e-05	0.003076923076923077	0.01818181818181818	0.0	0.02564102564102564	0.0	0.0	2	3401	2
6549	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2827	2
6592	5.495109352676118e-05	0.003076923076923077	0.01818181818181818	0.0	0.0	0.0	0.0	2	2556	2
6601	5.495109352676118e-05	0.003076923076923077	0.01818181818181818	0.0	0.0	0.0	0.0	2	3208	2
6669	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	2	2316	2
6699	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	3428	2
6746	0.00010990218705352236	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	2	2595	2
6845	5.495109352676118e-05	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	2	2725	2
6879	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2816	2
6919	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2269	2
6933	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	3286	2
6967	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2423	2
7170	5.495109352676118e-05	0.0	0.01818181818181818	0.2	0.0	0.0	0.0	2	3605	2
7214	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2890	2
7218	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2416	2
7336	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2291	2
7364	0.00010990218705352236	0.003076923076923077	0.01818181818181818	0.0	0.0	0.0	0.0	2	2495	2
7468	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	3719	2
7555	0.00016485328058028355	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	2234	2
7578	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	3490	2
7660	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	2628	2
7733	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	2393	2
7865	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	2863	2
7871	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	2265	2
7899	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.019230769230769232	0.0	3	3552	2
7910	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	3585	2
8082	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.019230769230769232	0.0	3	3063	2
8138	0.00016485328058028355	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	3	2198	2
8210	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	3	2429	2
8357	0.00016485328058028355	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	2176	2
8483	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	2609	2
8488	0.00016485328058028355	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	2125	2
8608	5.495109352676118e-05	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	3	2554	2
8888	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	2141	2
8973	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	2452	2
