	NO_OF_SUBJECTS	GRP_1	GRP_2	GRP_4	GRP_5	GRP_6	GRP_7	OPIOIDS	OTHER_DRUGS	CLUSTERS
3716	0.00021980437410704473	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1669	1
3747	0.0004945598417408506	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1422	1
3752	0.0008242664029014177	0.0	0.01818181818181818	0.0	0.0	0.019230769230769232	0.0	2	1200	1
3776	0.0006594131223211342	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1155	1
3801	0.001483679525222552	0.003076923076923077	0.01818181818181818	0.0	0.0	0.019230769230769232	0.0	2	1018	1
3833	0.0002747554676338059	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1425	1
3849	0.00021980437410704473	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	2	1920	1
3876	0.000604462028794373	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	2	1130	1
3880	0.0003297065611605671	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1521	1
3906	0.0004945598417408506	0.0	0.01818181818181818	0.0	0.0	0.019230769230769232	0.0	2	1259	1
3940	0.0009341685899549401	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1178	1
3962	0.0008792174964281789	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	2	1204	1
4002	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2018	1
4005	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	2	1671	1
4015	0.0011539729640619848	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1063	1
4025	0.0004945598417408506	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1132	1
4046	0.0007143642158478953	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	2	1029	1
4051	0.0002747554676338059	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	2	1023	1
4053	0.00016485328058028355	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1158	1
4063	0.00016485328058028355	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	2	1817	1
4070	0.0009341685899549401	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1102	1
4075	0.0020331904604901636	0.015384615384615385	0.01818181818181818	0.0	0.0	0.0	0.0	2	1010	1
4076	0.0003846576546873283	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1309	1
4081	0.0003297065611605671	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1446	1
4174	0.0008242664029014177	0.003076923076923077	0.01818181818181818	0.0	0.0	0.0	0.0	2	1045	1
4184	0.00021980437410704473	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	2	1836	1
4206	0.00021980437410704473	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1643	1
4212	0.0002747554676338059	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	2	1128	1
4234	0.00043960874821408945	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1413	1
4242	0.00043960874821408945	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1513	1
4256	0.000604462028794373	0.006153846153846154	0.0	0.0	0.02564102564102564	0.0	0.0	2	1184	1
4272	0.001263875151115507	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1059	1
4278	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	2	1679	1
4295	0.0009891196834817012	0.003076923076923077	0.01818181818181818	0.0	0.0	0.019230769230769232	0.09090909090909091	2	1015	1
4297	0.001208924057588746	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1079	1
4298	0.0011539729640619848	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1033	1
4304	0.00021980437410704473	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1600	1
4312	0.0007143642158478953	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1254	1
4319	0.00021980437410704473	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1514	1
4342	0.001208924057588746	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1156	1
4361	0.0007143642158478953	0.003076923076923077	0.0	0.0	0.0	0.019230769230769232	0.0	2	1248	1
4402	0.00021980437410704473	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	2	1589	1
4419	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1638	1
4457	0.0008792174964281789	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1286	1
4473	0.0007693153093746566	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1226	1
4503	0.0009891196834817012	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1049	1
4531	0.0005495109352676119	0.006153846153846154	0.01818181818181818	0.0	0.02564102564102564	0.0	0.0	2	1334	1
4587	0.0005495109352676119	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1276	1
4626	0.0013188262446422684	0.012307692307692308	0.0	0.0	0.02564102564102564	0.0	0.0	2	1068	1
4658	0.0003846576546873283	0.006153846153846154	0.0	0.0	0.0	0.019230769230769232	0.09090909090909091	2	1458	1
4664	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1974	1
4709	0.0007693153093746566	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1144	1
4743	0.00043960874821408945	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1408	1
4782	0.0002747554676338059	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1564	1
4849	0.0003846576546873283	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1629	1
4864	0.001538630618749313	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1011	1
4876	0.0003297065611605671	0.006153846153846154	0.0	0.0	0.0	0.019230769230769232	0.0	2	1538	1
4896	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	2019	1
4904	0.0005495109352676119	0.003076923076923077	0.01818181818181818	0.0	0.0	0.019230769230769232	0.0	2	1499	1
4912	0.0008792174964281789	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	2	1315	1
4936	0.0003846576546873283	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	2	1548	1
4946	0.0008792174964281789	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1121	1
4958	0.000604462028794373	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1407	1
4981	0.001208924057588746	0.006153846153846154	0.0	0.0	0.02564102564102564	0.019230769230769232	0.0	2	1070	1
4996	0.0002747554676338059	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1639	1
5043	0.00021980437410704473	0.003076923076923077	0.0	0.0	0.0	0.0	0.09090909090909091	2	1170	1
5070	0.0007693153093746566	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1340	1
5110	0.001538630618749313	0.006153846153846154	0.0	0.0	0.02564102564102564	0.0	0.0	2	1017	1
5138	0.00043960874821408945	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1403	1
5146	0.00021980437410704473	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1350	1
5175	0.00021980437410704473	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1405	1
5181	0.0002747554676338059	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1176	1
5196	0.0009891196834817012	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1081	1
5207	0.0008242664029014177	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1273	1
5211	0.0007143642158478953	0.00923076923076923	0.0	0.0	0.02564102564102564	0.019230769230769232	0.0	2	1141	1
5219	0.0003846576546873283	0.006153846153846154	0.01818181818181818	0.0	0.0	0.0	0.0	2	1291	1
5225	0.0007693153093746566	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1337	1
5267	0.000604462028794373	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	2	1305	1
5273	0.00021980437410704473	0.003076923076923077	0.01818181818181818	0.0	0.0	0.0	0.0	2	1855	1
5310	0.00021980437410704473	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1595	1
5311	0.00043960874821408945	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1385	1
5319	0.000604462028794373	0.003076923076923077	0.0	0.0	0.0	0.019230769230769232	0.0	2	1147	1
5324	0.0004945598417408506	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1622	1
5331	0.0008792174964281789	0.006153846153846154	0.0	0.0	0.02564102564102564	0.0	0.0	2	1113	1
5341	0.001208924057588746	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	2	1166	1
5372	0.0005495109352676119	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1227	1
5394	0.0003297065611605671	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1731	1
5426	0.0009341685899549401	0.003076923076923077	0.0	0.0	0.0	0.038461538461538464	0.0	2	1168	1
5433	0.0010990218705352237	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1173	1
5439	0.0011539729640619848	0.006153846153846154	0.01818181818181818	0.0	0.0	0.0	0.0	2	1074	1
5445	0.0003297065611605671	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1535	1
5457	0.00021980437410704473	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	2	1763	1
5462	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1870	1
5488	0.00021980437410704473	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	2	1368	1
5544	0.0003297065611605671	0.00923076923076923	0.01818181818181818	0.0	0.0	0.0	0.0	2	1461	1
5590	0.00016485328058028355	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1868	1
5623	0.0009341685899549401	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1143	1
5662	0.0005495109352676119	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1134	1
5676	0.0013737773381690295	0.00923076923076923	0.0	0.0	0.02564102564102564	0.019230769230769232	0.0	2	1040	1
5704	0.0006594131223211342	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1034	1
5714	0.0011539729640619848	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1019	1
5755	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	2	1816	1
5758	0.00010990218705352236	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	2	2043	1
5771	0.0002747554676338059	0.003076923076923077	0.0	0.0	0.0	0.019230769230769232	0.0	2	1487	1
5814	0.0011539729640619848	0.0	0.01818181818181818	0.2	0.0	0.0	0.0	2	1086	1
5848	0.0004945598417408506	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1415	1
5855	5.495109352676118e-05	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	2	1824	1
5894	0.0005495109352676119	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1085	1
5941	0.0002747554676338059	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1906	1
5942	0.0003297065611605671	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1395	1
5943	0.0005495109352676119	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1084	1
5944	0.0013188262446422684	0.015384615384615385	0.0	0.0	0.0	0.038461538461538464	0.09090909090909091	2	1111	1
5965	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1848	1
6003	0.0013188262446422684	0.00923076923076923	0.0	0.0	0.0	0.0	0.0	2	1028	1
6011	0.0008792174964281789	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1044	1
6052	0.0005495109352676119	0.006153846153846154	0.0	0.0	0.02564102564102564	0.0	0.0	2	1258	1
6067	0.00021980437410704473	0.003076923076923077	0.01818181818181818	0.0	0.02564102564102564	0.0	0.0	2	1677	1
6072	0.0005495109352676119	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1280	1
6075	0.0003297065611605671	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1456	1
6143	0.0003846576546873283	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1296	1
6174	0.0007693153093746566	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1196	1
6188	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1839	1
6203	0.0006594131223211342	0.003076923076923077	0.01818181818181818	0.0	0.0	0.0	0.0	2	1396	1
6241	0.0003846576546873283	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	2	1500	1
6289	0.0003846576546873283	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1429	1
6296	0.0003297065611605671	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1439	1
6304	0.0003846576546873283	0.00923076923076923	0.0	0.0	0.02564102564102564	0.0	0.0	2	1474	1
6320	0.00043960874821408945	0.0	0.01818181818181818	0.2	0.0	0.0	0.0	2	1249	1
6366	0.0008792174964281789	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1295	1
6403	0.0014287284316957906	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	2	1037	1
6419	0.0003297065611605671	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	2	1241	1
6420	0.0004945598417408506	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1376	1
6440	0.0009891196834817012	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1167	1
6457	0.0008242664029014177	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1142	1
6539	0.0005495109352676119	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1138	1
6557	0.0007143642158478953	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1225	1
6564	0.00016485328058028355	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1485	1
6617	0.0006594131223211342	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1279	1
6629	0.0006594131223211342	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1145	1
6634	0.0002747554676338059	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	2	1654	1
6635	0.0003846576546873283	0.0	0.01818181818181818	0.0	0.0	0.019230769230769232	0.0	2	1242	1
6642	0.0008792174964281789	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1152	1
6649	0.000604462028794373	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1210	1
6698	0.0006594131223211342	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1101	1
6711	0.00016485328058028355	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1696	1
6713	0.0007693153093746566	0.003076923076923077	0.01818181818181818	0.4	0.0	0.0	0.09090909090909091	2	1364	1
6722	0.0009341685899549401	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1105	1
6755	0.000604462028794373	0.0	0.01818181818181818	0.0	0.0	0.019230769230769232	0.0	2	1050	1
6770	0.0002747554676338059	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1160	1
6771	0.0003297065611605671	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1596	1
6775	0.0008242664029014177	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1051	1
6782	0.0017034838993295967	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1090	1
6784	0.00010990218705352236	0.003076923076923077	0.01818181818181818	0.0	0.0	0.0	0.0	2	1656	1
6865	0.000604462028794373	0.006153846153846154	0.0	0.0	0.02564102564102564	0.0	0.0	2	1319	1
6868	0.0007693153093746566	0.006153846153846154	0.0	0.0	0.02564102564102564	0.019230769230769232	0.0	2	1181	1
6887	0.0007693153093746566	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1122	1
6908	0.000604462028794373	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1462	1
6911	0.0003297065611605671	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1409	1
6929	0.0002747554676338059	0.003076923076923077	0.0	0.0	0.0	0.019230769230769232	0.0	2	1805	1
6959	0.0008792174964281789	0.003076923076923077	0.01818181818181818	0.0	0.02564102564102564	0.0	0.0	2	1139	1
7022	0.00021980437410704473	0.003076923076923077	0.01818181818181818	0.0	0.02564102564102564	0.0	0.0	2	1362	1
7030	0.0003846576546873283	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1265	1
7039	0.00016485328058028355	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1791	1
7047	0.0008792174964281789	0.006153846153846154	0.0	0.0	0.02564102564102564	0.0	0.0	2	1169	1
7096	0.0008792174964281789	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	2	1048	1
7097	0.0004945598417408506	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1393	1
7181	0.0008242664029014177	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	2	1022	1
7228	0.0010440707770084624	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	2	1092	1
7240	0.0003297065611605671	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1482	1
7251	0.00016485328058028355	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1838	1
7265	0.0002747554676338059	0.0	0.01818181818181818	0.0	0.0	0.019230769230769232	0.0	2	1583	1
7313	0.001208924057588746	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1007	1
7333	0.0009341685899549401	0.003076923076923077	0.0	0.0	0.0	0.019230769230769232	0.0	2	1025	1
7378	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1739	1
7390	0.0005495109352676119	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1336	1
7391	0.0011539729640619848	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1069	1
7393	0.000604462028794373	0.003076923076923077	0.01818181818181818	0.0	0.0	0.0	0.0	2	1271	1
7398	0.0010440707770084624	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	2	1137	1
7426	0.00021980437410704473	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	1669	1
7457	0.000604462028794373	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	1422	1
7462	0.0008792174964281789	0.0	0.01818181818181818	0.0	0.0	0.019230769230769232	0.0	3	1200	1
7486	0.0007143642158478953	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	1155	1
7511	0.0010440707770084624	0.003076923076923077	0.01818181818181818	0.0	0.0	0.019230769230769232	0.0	3	1018	1
7543	0.0002747554676338059	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	1425	1
7559	0.0002747554676338059	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	3	1920	1
7586	0.0006594131223211342	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	3	1130	1
7590	0.0004945598417408506	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	1521	1
7616	0.000604462028794373	0.0	0.01818181818181818	0.0	0.0	0.019230769230769232	0.0	3	1259	1
7650	0.0014287284316957906	0.006153846153846154	0.0	0.0	0.0	0.0	0.0	3	1178	1
7672	0.0008792174964281789	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	3	1204	1
7712	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	2018	1
7715	5.495109352676118e-05	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	3	1671	1
7725	0.0013737773381690295	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	1063	1
7735	0.0006594131223211342	0.00923076923076923	0.0	0.0	0.0	0.0	0.0	3	1132	1
7737	0.0010990218705352237	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	1077	1
7761	0.0003297065611605671	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	3	1023	1
7763	0.00016485328058028355	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	1158	1
7773	0.00016485328058028355	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	3	1817	1
7776	0.0003297065611605671	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	1649	1
7780	0.0011539729640619848	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	1102	1
7785	0.0019782393669634025	0.015384615384615385	0.01818181818181818	0.0	0.0	0.0	0.0	3	1010	1
7786	0.00010990218705352236	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	1309	1
7791	0.0005495109352676119	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	1446	1
7862	0.0002747554676338059	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	1688	1
7894	0.00021980437410704473	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	3	1836	1
7916	0.00043960874821408945	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	1643	1
7918	0.001483679525222552	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	1091	1
7922	0.0002747554676338059	0.0	0.0	0.0	0.0	0.019230769230769232	0.0	3	1128	1
7944	0.0005495109352676119	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	1413	1
7952	0.00043960874821408945	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	1513	1
7954	0.0007693153093746566	0.003076923076923077	0.0	0.0	0.02564102564102564	0.0	0.0	3	1238	1
7966	0.0005495109352676119	0.003076923076923077	0.0	0.0	0.0	0.0	0.0	3	1184	1
